Hour,High Year-Round Headroom + Short Summer Constraints,Variable Headroom + Summer Constraints,Lower & More Persistent Summer Headroom
0,362.63733969916507,337.5744962064788,320.40364068790865
1,362.63733969916507,337.5744962064788,320.40364068790865
2,362.63733969916507,337.5744962064788,320.40364068790865
3,362.63733969916507,337.5744962064788,320.40364068790865
4,362.637339699165,337.5744962064787,320.4036406879086
5,362.63733969916456,337.5744962064783,320.4036406879081
6,362.6373396991612,337.5744962064751,320.40364068790427
7,362.6373396991411,337.5744962064559,320.4036406878816
8,362.6373396990402,337.57449620635964,320.40364068776785
9,362.63733969861886,337.5744962059577,320.4036406872928
10,362.63733969715673,337.57449620456276,320.40364068564423
11,362.6373396929574,337.5744962005565,320.4036406809096
12,362.63733968303563,337.57449619109076,320.40364066972285
13,362.63733966393517,337.5744961728683,320.40364064818715
14,362.63733963447976,337.5744961447669,320.40364061497644
15,362.6373395993258,337.5744961112288,320.40364057534055
16,362.6373395696266,337.57449608289477,320.4036405418548
17,362.63733955787944,337.57449607168763,320.40364052860997
18,362.6373395696266,337.57449608289477,320.4036405418548
19,362.6373395993258,337.5744961112288,320.40364057534055
20,362.63733963447976,337.5744961447669,320.40364061497644
21,362.63733966393517,337.5744961728683,320.40364064818715
22,362.63733968303563,337.57449619109076,320.40364066972285
23,362.6373396929574,337.5744962005565,320.4036406809096
24,363.82707658788337,344.04049466621063,321.7798544361115
25,363.82707658788337,344.04049466621063,321.7798544361115
26,363.82707658788337,344.04049466621063,321.7798544361115
27,363.82707658788337,344.04049466621063,321.7798544361115
28,363.8270765878833,344.0404946662106,321.77985443611146
29,363.82707658788274,344.04049466621,321.7798544361108
30,363.82707658787865,344.04049466620614,321.7798544361062
31,363.82707658785404,344.04049466618267,321.7798544360785
32,363.8270765877309,344.0404946660652,321.7798544359396
33,363.8270765872164,344.0404946655744,321.77985443535954
34,363.8270765854311,344.0404946638711,321.7798544333466
35,363.8270765803035,344.04049465897924,321.77985442756534
36,363.8270765681886,344.0404946474212,321.7798544139058
37,363.8270765448661,344.0404946251707,321.7798543876098
38,363.8270765088997,344.04049459085763,321.779854347058
39,363.82707646597515,344.04049454990616,321.7798542986608
40,363.82707642971104,344.04049451530904,321.77985425777325
